genero,escolaridade,regiao,situacao_trabalho,setor,tamanho_empresa,gestor,cargo,nivel,Experiencia_Categoria,Trabalha_Remoto,Perfil_Tecnico_Qtd,faixa_salarial_class
Masculino,Estudante de Graduação,Sudeste,Estagiário,Finanças ou Bancos,Acima de 3.000,False,Analista de Dados/Data Analyst,Júnior,3 a 6 anos,Não,5.0,Baixa faixa salarial
Feminino,Mestrado,Sudeste,Empregado (CLT),Tecnologia/Fábrica de Software,de 1.001 a 3.000,True,Outro/Gestão,Não informado,Mais de 6 anos,Não,0.0,Alta faixa salarial
Feminino,Graduação/Bacharelado,Nordeste,Empregado (CLT),Varejo,Acima de 3.000,False,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,3 a 6 anos,Sim,0.0,Média faixa salarial
Feminino,Graduação/Bacharelado,Nordeste,Empregado (CLT),Varejo,de 1.001 a 3.000,False,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,3 a 6 anos,Sim,7.0,Alta faixa salarial
Masculino,Estudante de Graduação,Nordeste,Empreendedor ou Empregado (CNPJ),Marketing,de 6 a 10,True,Outro/Gestão,Não informado,3 a 6 anos,Sim,0.0,Média faixa salarial
Masculino,Mestrado,Sudeste,Servidor Público,Outra Opção,Acima de 3.000,True,Outro/Gestão,Não informado,3 a 6 anos,Não,0.0,Alta faixa salarial
Masculino,Doutorado ou Phd,Sudeste,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Área da Saúde,de 51 a 100,False,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,Mais de 6 anos,Sim,11.0,Alta faixa salarial
Masculino,Pós-graduação,Nordeste,Empregado (CLT),Setor Alimentício,Acima de 3.000,False,Analista de Negócios/Business Analyst,Pleno,Até 2 anos,Não,10.0,Baixa faixa salarial
Masculino,Pós-graduação,Sudeste,Empregado (CLT),Finanças ou Bancos,de 1.001 a 3.000,False,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,Mais de 6 anos,Não,18.0,Alta faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Varejo,Acima de 3.000,False,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,3 a 6 anos,Não,4.0,Alta faixa salarial
Masculino,Pós-graduação,Não informado,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,True,Outro/Gestão,Não informado,Mais de 6 anos,Sim,0.0,Alta faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Setor Imobiliário/ Construção Civil,de 101 a 500,False,Analista de Dados/Data Analyst,Pleno,3 a 6 anos,Não,7.0,Média faixa salarial
Masculino,Mestrado,Sul,Empregado (CLT),Outra Opção,Acima de 3.000,False,Analista de Dados/Data Analyst,Sênior,3 a 6 anos,Não,10.0,Média faixa salarial
Feminino,Pós-graduação,Não informado,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Área de Consultoria,Acima de 3.000,True,Outro/Gestão,Não informado,3 a 6 anos,Não,0.0,Alta faixa salarial
Masculino,Estudante de Graduação,Nordeste,Empregado (CLT),Outra Opção,de 101 a 500,False,Analista de Dados/Data Analyst,Júnior,Até 2 anos,Não,8.0,Baixa faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Outra Opção,Acima de 3.000,False,Analista de BI/BI Analyst,Pleno,3 a 6 anos,Não,6.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Centro-oeste,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,Cientista de Dados/Data Scientist,Pleno,3 a 6 anos,Não,5.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 101 a 500,True,Outro/Gestão,Não informado,3 a 6 anos,Sim,0.0,Alta faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Setor Alimentício,Acima de 3.000,False,Analista de BI/BI Analyst,Pleno,3 a 6 anos,Não,7.0,Média faixa salarial
Feminino,Estudante de Graduação,Sul,Empregado (CLT),Educação,Acima de 3.000,False,Outra Opção,Júnior,Até 2 anos,Não,2.0,Baixa faixa salarial
Feminino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,True,Outro/Gestão,Não informado,3 a 6 anos,Sim,0.0,Alta faixa salarial
Prefiro não informar,Estudante de Graduação,Sudeste,Estagiário,Setor Público,Acima de 3.000,False,Analista de BI/BI Analyst,Júnior,Até 2 anos,Não,4.0,Baixa faixa salarial
Masculino,Doutorado ou Phd,Sul,Empregado (CLT),Área de Consultoria,de 11 a 50,False,Cientista de Dados/Data Scientist,Pleno,Até 2 anos,Não,13.0,Média faixa salarial
Feminino,Mestrado,Sudeste,Empregado (CLT),Tecnologia/Fábrica de Software,de 1.001 a 3.000,True,Outro/Gestão,Não informado,Mais de 6 anos,Não,0.0,Alta faixa salarial
Masculino,Doutorado ou Phd,Nordeste,Empregado (CLT),Agronegócios,de 101 a 500,False,Cientista de Dados/Data Scientist,Sênior,Mais de 6 anos,Sim,11.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Sul,Empregado (CLT),Finanças ou Bancos,de 1.001 a 3.000,False,Outra Opção,Júnior,Até 2 anos,Não,6.0,Baixa faixa salarial
Masculino,Pós-graduação,Sudeste,Empregado (CLT),Área da Saúde,Acima de 3.000,True,Outro/Gestão,Não informado,Mais de 6 anos,Não,0.0,Alta faixa salarial
Masculino,Pós-graduação,Sudeste,Empregado (CLT),Internet/Ecommerce,Acima de 3.000,False,Analista de Dados/Data Analyst,Sênior,Até 2 anos,Não,7.0,Média faixa salarial
Feminino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Setor de Energia,Acima de 3.000,False,Analista de Dados/Data Analyst,Júnior,Até 2 anos,Não,5.0,Baixa faixa salarial
Masculino,Pós-graduação,Sul,Empregado (CLT),Indústria,de 501 a 1.000,False,Outra Opção,Júnior,Até 2 anos,Não,0.0,Baixa faixa salarial
Masculino,Estudante de Graduação,Sudeste,Empregado (CLT),Educação,de 101 a 500,True,Outro/Gestão,Não informado,Até 2 anos,Sim,0.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Centro-oeste,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,Analista de BI/BI Analyst,Júnior,Até 2 anos,Não,5.0,Baixa faixa salarial
Masculino,Pós-graduação,Sudeste,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,False,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,3 a 6 anos,Sim,7.0,Média faixa salarial
Masculino,Estudante de Graduação,Centro-oeste,Estagiário,Tecnologia/Fábrica de Software,de 101 a 500,False,Analista de Dados/Data Analyst,Júnior,Até 2 anos,Sim,5.0,Baixa faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Varejo,Acima de 3.000,False,Analista de Negócios/Business Analyst,Sênior,3 a 6 anos,Não,12.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Centro-oeste,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,False,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Júnior,Até 2 anos,Não,5.0,Média faixa salarial
Masculino,Estudante de Graduação,Sudeste,Estagiário,Finanças ou Bancos,de 11 a 50,False,Analista de Dados/Data Analyst,Júnior,Até 2 anos,Não,6.0,Baixa faixa salarial
Feminino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1.000,False,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,3 a 6 anos,Sim,5.0,Média faixa salarial
Feminino,Pós-graduação,Sudeste,Empregado (CLT),Finanças ou Bancos,de 1.001 a 3.000,True,Outro/Gestão,Não informado,Mais de 6 anos,Não,0.0,Alta faixa salarial
Masculino,Graduação/Bacharelado,Nordeste,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Marketing,de 11 a 50,False,Analista de BI/BI Analyst,Júnior,Até 2 anos,Não,4.0,Baixa faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Internet/Ecommerce,de 1.001 a 3.000,False,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,Mais de 6 anos,Sim,13.0,Alta faixa salarial
Masculino,Mestrado,Não informado,Empreendedor ou Empregado (CNPJ),Setor de Energia,de 51 a 100,True,Outro/Gestão,Não informado,Mais de 6 anos,Não,0.0,Alta faixa salarial
Feminino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Área de Consultoria,Acima de 3.000,True,Outro/Gestão,Não informado,Mais de 6 anos,Sim,0.0,Alta faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empreendedor ou Empregado (CNPJ),Entretenimento ou Esportes,de 101 a 500,False,Cientista de Dados/Data Scientist,Júnior,Até 2 anos,Sim,7.0,Média faixa salarial
Masculino,Pós-graduação,Nordeste,Empregado (CLT),Setor Automotivo,Acima de 3.000,False,Analista de Suporte/Analista Técnico,Júnior,Até 2 anos,Não,8.0,Baixa faixa salarial
Feminino,Mestrado,Sudeste,Empregado (CLT),Marketing,Acima de 3.000,False,Analista de BI/BI Analyst,Pleno,Até 2 anos,Não,6.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Sul,Empregado (CLT),Setor Alimentício,de 101 a 500,False,Analista de Dados/Data Analyst,Pleno,3 a 6 anos,Não,7.0,Baixa faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Servidor Público,Outra Opção,Acima de 3.000,True,Outro/Gestão,Não informado,Até 2 anos,Não,0.0,Alta faixa salarial
Masculino,Estudante de Graduação,Centro-oeste,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,False,Analista de BI/BI Analyst,Júnior,Até 2 anos,Não,9.0,Baixa faixa salarial
Masculino,Estudante de Graduação,Sudeste,Estagiário,Área da Saúde,Acima de 3.000,False,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,Até 2 anos,Sim,9.0,Baixa faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,Cientista de Dados/Data Scientist,Sênior,3 a 6 anos,Sim,5.0,Alta faixa salarial
Masculino,Mestrado,Nordeste,Empregado (CLT),Finanças ou Bancos,de 1.001 a 3.000,False,Cientista de Dados/Data Scientist,Sênior,3 a 6 anos,Sim,5.0,Alta faixa salarial
Feminino,Pós-graduação,Sudeste,Empregado (CLT),Filantropia/ONG's,de 11 a 50,True,Outro/Gestão,Não informado,3 a 6 anos,Não,0.0,Alta faixa salarial
Feminino,Pós-graduação,Sudeste,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3.000,False,Analytics Engineer,Sênior,Até 2 anos,Sim,6.0,Média faixa salarial
Masculino,Pós-graduação,Sudeste,Empregado (CLT),Área da Saúde,de 101 a 500,True,Outro/Gestão,Não informado,Mais de 6 anos,Não,0.0,Alta faixa salarial
Masculino,Mestrado,Nordeste,Empregado (CLT),Área de Consultoria,de 1.001 a 3.000,False,Cientista de Dados/Data Scientist,Pleno,3 a 6 anos,Sim,3.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Centro-oeste,Empregado (CLT),Área da Saúde,Acima de 3.000,False,Cientista de Dados/Data Scientist,Pleno,3 a 6 anos,Não,1.0,Alta faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,3 a 6 anos,Não,6.0,Média faixa salarial
Masculino,Estudante de Graduação,Sudeste,Empregado (CLT),Varejo,Acima de 3.000,False,Analista de Dados/Data Analyst,Júnior,Até 2 anos,Não,5.0,Baixa faixa salarial
Feminino,Estudante de Graduação,Sul,Estagiário,Telecomunicação,de 1.001 a 3.000,False,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,Até 2 anos,Não,8.0,Baixa faixa salarial
Feminino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Varejo,Acima de 3.000,False,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Pleno,Até 2 anos,Sim,5.0,Média faixa salarial
Masculino,Pós-graduação,Sudeste,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,False,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,3 a 6 anos,Sim,16.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Seguros ou Previdência,Acima de 3.000,False,Analista de Negócios/Business Analyst,Sênior,3 a 6 anos,Não,8.0,Média faixa salarial
Feminino,Pós-graduação,Sudeste,Empregado (CLT),Educação,de 501 a 1.000,False,Analista de Dados/Data Analyst,Pleno,Até 2 anos,Sim,5.0,Baixa faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Indústria,de 101 a 500,False,Cientista de Dados/Data Scientist,Pleno,3 a 6 anos,Não,6.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Setor Alimentício,Acima de 3.000,True,Outro/Gestão,Não informado,3 a 6 anos,Sim,0.0,Alta faixa salarial
Masculino,Estudante de Graduação,Centro-oeste,Empregado (CLT),Varejo,Acima de 3.000,False,Analista de Dados/Data Analyst,Pleno,3 a 6 anos,Sim,6.0,Alta faixa salarial
Masculino,Pós-graduação,Nordeste,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,3 a 6 anos,Sim,9.0,Média faixa salarial
Masculino,Doutorado ou Phd,Nordeste,Servidor Público,Setor Público,Acima de 3.000,False,Professor/Pesquisador,Sênior,Mais de 6 anos,Não,9.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Não informado,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Outra Opção,de 51 a 100,False,Outra Opção,Júnior,Até 2 anos,Não,0.0,Alta faixa salarial
Feminino,Mestrado,Sudeste,Empregado (CLT),Setor Alimentício,Acima de 3.000,False,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,3 a 6 anos,Não,5.0,Média faixa salarial
Masculino,Estudante de Graduação,Sul,Empregado (CLT),Agronegócios,de 101 a 500,False,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,3 a 6 anos,Não,7.0,Média faixa salarial
Feminino,Doutorado ou Phd,Sudeste,Empregado (CLT),Outra Opção,Acima de 3.000,False,Analista de Dados/Data Analyst,Sênior,Mais de 6 anos,Sim,5.0,Alta faixa salarial
Masculino,Pós-graduação,Sudeste,Empreendedor ou Empregado (CNPJ),Educação,de 501 a 1.000,True,Outro/Gestão,Não informado,Mais de 6 anos,Sim,0.0,Alta faixa salarial
Masculino,Pós-graduação,Nordeste,Empregado (CLT),Internet/Ecommerce,Acima de 3.000,True,Outro/Gestão,Não informado,Mais de 6 anos,Não,0.0,Alta faixa salarial
Masculino,Mestrado,Centro-oeste,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 51 a 100,False,Cientista de Dados/Data Scientist,Sênior,3 a 6 anos,Sim,10.0,Alta faixa salarial
Masculino,Mestrado,Sudeste,Empregado (CLT),Filantropia/ONG's,de 11 a 50,False,Analista de Dados/Data Analyst,Sênior,3 a 6 anos,Não,7.0,Média faixa salarial
Masculino,Graduação/Bacharelado,Sudeste,Estagiário,Outra Opção,de 6 a 10,False,Outra Opção,Júnior,Até 2 anos,Não,0.0,Baixa faixa salarial
Masculino,Estudante de Graduação,Não informado,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Outra Opção,Acima de 3.000,True,Outro/Gestão,Não informado,3 a 6 anos,Não,0.0,Alta faixa salarial
Masculino,Mestrado,Não informado,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Tecnologia/Fábrica de Software,de 1.001 a 3.000,True,Outro/Gestão,Não informado,Mais de 6 anos,Não,0.0,Alta faixa salarial
Feminino,Pós-graduação,Centro-oeste,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1.000,False,Analista de BI/BI Analyst,Pleno,3 a 6 anos,Sim,5.0,Média faixa salarial
Feminino,Graduação/Bacharelado,Sudeste,Empregado (CLT),Finanças ou Bancos,de 501 a 1.000,False,Analista de Negócios/Business Analyst,Sênior,Até 2 anos,Não,3.0,Média faixa salarial
Feminino,Mestrado,Sudeste,Empregado (CLT),Telecomunicação,Acima de 3.000,False,Cientista de Dados/Data Scientist,Pleno,3 a 6 anos,Não,5.0,Média faixa salarial
Masculino,Doutorado ou Phd,Nordeste,Empreendedor ou Empregado (CNPJ),Área de Consultoria,de 1 a 5,False,Cientista de Dados/Data Scientist,Pleno,Até 2 anos,Sim,10.0,Média faixa salarial
Masculino,Mestrado,Sudeste,Empregado (CLT),Tecnologia/Fábrica de Software,de 1.001 a 3.000,False,Cientista de Dados/Data Scientist,Pleno,3 a 6 anos,Sim,7.0,Média faixa salarial
Feminino,Doutorado ou Phd,Sul,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1.000,False,Cientista de Dados/Data Scientist,Pleno,Até 2 anos,Sim,5.0,Média faixa salarial
